[2020-10-27 03:10:47,675][read_data.py 21][INFO]: 加载 G:\work\IMMTestProject\data\api_test_data.yml 文件......
[2020-10-27 03:15:25,919][read_data.py 21][INFO]: 加载 G:\work\IMMTestProject\data\api_test_data.yml 文件......
[2020-10-27 03:15:25,933][read_data.py 24][INFO]: 读到数据 ==>>  {'test_detect_image_faces_success': [['test-project', 'oss://imm-test/testcases/test.jpg', '200', True, True, 'oss://imm-test/testcases/test.jpg'], ['test-project', 'oss://imm-test/testcases/test.png', '200', True, True, 'oss://imm-test/testcases/test.png'], ['test-project', 'oss://imm-test/testcases/test.bmp', '200', True, True, 'oss://imm-test/testcases/test.bmp'], ['test-project', 'oss://imm-test/testcases/test.tif', '200', True, True, 'oss://imm-test/testcases/test.tif'], ['test-project', 'oss://imm-test/testcases/test.gif', '200', True, True, 'oss://imm-test/testcases/test.gif']], 'test_detect_image_faces_fail': [['non-exist-project', 'oss://imm-test/testcases/test.jpg', '400', True, False, False, 'project不存在'], ['other-user-project', 'oss://imm-test/testcases/test.jpg', '400', True, False, False, 'project不是当前用户的project'], ['test-project', 'oss://imm-test/testcases', '400', True, False, False, 'ImageUri路径不是图片'], ['test-project', 'oss://aaa/testcases/test.jpg', '400', True, False, False, '当前project不存在的obs'], ['test-project', 'test://imm-test/testcases/test.jpg', '400', True, False, False, 'ImageUri路径格式异常'], ['test-project', 'oss://imm-test/testcases/notexistpic.jpg', '400', True, False, False, 'ImageUri路径图片不存在'], ['test-project', 'oss://imm-test/testcases/test.txt', '400', True, False, False, 'ImageUri不是图片格式'], ['test-project', 'oss://imm-test/testcases/aaa.jpg', '400', True, False, False, '图片异常分析失败']]} 
[2020-10-27 03:15:27,343][test_detect_image_faces.py 35][INFO]: *************** 开始执行用例 ***************
[2020-10-27 03:15:27,707][test_detect_image_faces.py 35][INFO]: *************** 开始执行用例 ***************
[2020-10-27 03:15:27,900][test_detect_image_faces.py 35][INFO]: *************** 开始执行用例 ***************
[2020-10-27 03:15:28,070][test_detect_image_faces.py 35][INFO]: *************** 开始执行用例 ***************
[2020-10-27 03:15:28,250][test_detect_image_faces.py 35][INFO]: *************** 开始执行用例 ***************
[2020-10-27 03:15:28,452][test_detect_image_faces.py 63][INFO]: *************** 开始执行用例 ***************
[2020-10-27 03:15:28,671][test_detect_image_faces.py 63][INFO]: *************** 开始执行用例 ***************
[2020-10-27 03:15:28,853][test_detect_image_faces.py 63][INFO]: *************** 开始执行用例 ***************
